id,numRecord,codeType,coder,comment,occurred,typeRequestor,typeSolicitud,typeDerivacion,typeOffer,saludoProt,preguntaPolPub,quejaMuni,tags (skip),Sys.time()
7759,80,3,Richard,,1,individuo,no especificado,,,0,0,0,,2022-08-16 21:49:05
4816,81,3,Richard,,1,empresa,asistencia legal,ADMINISTRADORA,,0,0,0,,2022-08-16 21:50:02
3644,82,3,Richard,Campaña nacional de Cuna Cultural,1,organización,,,información,0,0,0,,2022-08-16 22:00:40
2215,83,3,Richard,,1,individuo,,,información,0,0,0,,2022-08-16 22:02:09
14273,84,3,Richard,junta de vecinos,1,organización,ayuda social/económica,,,0,0,0,,2022-08-16 22:02:54
4605,85,3,Richard,fundacion,0,organización,,Jefa de Cultura,,0,0,0,,2022-08-16 22:03:34
11547,86,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 22:03:49
8147,87,3,Richard,,1,individuo,"asistencia legal, intercesion",,,0,0,0,,2022-08-16 22:04:47
2475,88,3,Richard,,1,organización,"infraestructura urbana/rural, respaldo autoridad",,"bien/servicio, información",0,0,0,,2022-08-16 22:08:35
2259,89,3,Richard,,1,individuo,infraestructura urbana/rural,DIRECTORA JURIDICA,,0,0,0,,2022-08-16 22:09:27
5663,90,3,Richard,,1,individuo,espacio/lugar,,,0,0,0,,2022-08-16 22:09:58
3531,91,3,Richard,,1,empresa,convenio,"Administrador Municipal, Jefa de Gabinete en la Municipalidad","proyecto, información",0,0,0,,2022-08-16 22:12:10
11884,92,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 22:12:29
11949,93,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 22:12:35
182,94,3,Richard,Conjunto Folclórico Pasión Cuequera,1,organización,ayuda social/económica,,información,1,0,0,,2022-08-16 22:13:27
4715,95,3,Richard,SINDICATO INDEPENDIENTE VENDEDORES DE PESCADOS Y MARISCOS,1,organización,"espacio/lugar, ayuda social/económica",,,0,0,0,,2022-08-16 22:14:59
14501,96,3,Richard,,1,individuo,información,,,0,0,0,,2022-08-16 22:15:46
639,97,3,Richard,,1,individuo,espacio/lugar,,,0,0,0,,2022-08-16 22:16:02
4349,98,3,Richard,COLEGIO NUESTRA SRA. DEL ROSARIO,1,institución,información,,información,1,0,0,,2022-08-16 22:16:53
13323,99,3,Richard,,1,individuo,no especificado,Oficina del Concejal,,0,0,0,?,2022-08-16 22:18:09
6232,100,3,Richard,,1,empresa,vinculacion con organizaciones comunitarias,DIDECO,información,0,0,0,,2022-08-16 22:19:44
13416,101,3,Richard,,1,empresa,convenio,,"bien/servicio, proyecto",0,0,0,,2022-08-16 22:34:18
13939,102,3,Richard,,1,individuo,infraestructura urbana/rural,DOM,,0,0,0,,2022-08-16 22:34:54
2195,103,3,Richard,,1,empresa,convenio,,bien/servicio,0,0,0,,2022-08-16 22:36:06
12797,104,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 22:36:18
4235,105,3,Richard,,1,empresa,presencia autoridad política,,información,0,0,0,,2022-08-16 22:37:11
4533,106,3,Richard,junta de vecinos,1,organización,infraestructura urbana/rural,coordinador territorial,proyecto,1,1,0,,2022-08-16 22:37:51
8939,107,3,Richard,junta de vecinos,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 22:38:08
10229,108,3,Richard,apoyo musical,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 22:38:26
5070,109,3,Richard,,1,individuo,empleo,DIRECCIÒN COMUNAL DE SALUD,,0,0,0,,2022-08-16 22:38:46
13133,110,3,Richard,,1,empresa,"convenio, no especificado",Oficina del Concejal,proyecto,0,0,0,,2022-08-16 22:40:22
13695,111,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 22:40:37
11641,112,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 22:40:46
10458,113,3,Richard,Gremio DE Trabajadores DE LA Minería DEL Choapa?,1,organización,asistencia legal,,información,0,1,0,?,2022-08-16 22:43:38
12452,114,3,Richard,,1,individuo,vivienda,,,0,0,0,,2022-08-16 22:43:57
7571,115,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 22:44:10
7902,116,3,Richard,junta de vecinos,1,organización,infraestructura urbana/rural,,,0,0,0,,2022-08-16 22:44:53
14691,117,3,Richard,,1,organización,ayuda social/económica,,información,1,0,0,,2022-08-16 22:45:26
866,118,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 22:45:49
2200,119,3,Richard,Universidad de La Frontera,1,institución,,,"proyecto, información",0,0,0,,2022-08-16 22:46:15
5146,120,3,Richard,,1,individuo,permiso/autorización,,proyecto,0,0,0,,2022-08-16 22:46:53
4575,121,3,Richard,,1,individuo,no especificado,,información,0,0,0,?,2022-08-16 22:49:13
12391,122,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 22:49:21
13501,123,3,Richard,,1,empresa,,Director de Tecnología,"proyecto, bien/servicio",0,0,0,,2022-08-16 22:50:36
69,124,3,Richard,junta de vecinos,1,organización,"subvención, infraestructura urbana/rural",,,0,0,0,,2022-08-16 22:51:14
10286,125,3,Richard,junta de vecinos,1,organización,no especificado,,,0,0,0,,2022-08-16 22:51:37
4916,126,3,Richard,junta de vecinos,1,organización,información,,información,1,1,0,,2022-08-16 22:52:59
10232,127,3,Richard,,1,individuo,intercesion,OFICINA DE ADMINISTRADOR,,0,1,1,,2022-08-16 22:53:59
12238,128,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 22:54:13
257,129,3,Richard,,1,individuo,permiso/autorización,,proyecto,0,0,0,,2022-08-16 22:55:33
6953,130,3,Richard,junta de vecinos,1,organización,información,,información,0,0,0,,2022-08-16 22:56:51
12102,131,3,Richard,,1,individuo,no especificado,,,0,0,0,,2022-08-16 22:57:25
10316,132,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 22:57:41
3873,133,3,Richard,,1,empresa,ayuda social/económica,Sala de Concejo Municipal,información,0,0,0,,2022-08-16 22:59:33
14735,134,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 22:59:47
5158,135,3,Richard,,1,"individuo, empresa",,DIRECTORA M.A.,bien/servicio,0,1,0,,2022-08-16 23:01:41
12591,136,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 23:01:55
11309,137,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 23:02:27
5611,138,3,Richard,Comite habitacional,1,organización,"infraestructura urbana/rural, fiscalizacion",,proyecto,0,0,0,,2022-08-16 23:03:17
10517,139,3,Richard,Corporación Nacional del Cáncer,1,organización,"infraestructura urbana/rural, comodato",,,0,0,0,,2022-08-16 23:05:35
3940,140,3,Richard,,1,individuo,"ayuda social/económica, información",Sala de Concejo Municipal,,0,0,0,,2022-08-16 23:05:59
11079,141,3,Richard,,1,individuo,vivienda,,,0,0,0,,2022-08-16 23:06:11
5378,142,3,Richard,,1,individuo,información,,,0,1,0,,2022-08-16 23:06:42
5750,143,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 23:07:00
172,144,3,Richard,AGRUPACIÓN DE RESERVISTAS SAN CARLOS DE ANCUD,1,organización,"infraestructura urbana/rural, información",,,0,0,0,,2022-08-16 23:07:28
14092,145,3,Richard,,1,individuo,infraestructura urbana/rural,,,0,1,0,,2022-08-16 23:08:11
9981,146,3,Richard,,1,empresa,permiso/autorización,,proyecto,0,0,0,,2022-08-16 23:08:52
2902,147,3,Richard,,1,empresa,,,"proyecto, información",0,0,0,,2022-08-16 23:09:15
3143,148,3,Richard,,1,individuo,infraestructura urbana/rural,,,0,1,0,,2022-08-16 23:09:53
9353,149,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 23:10:05
4990,150,3,Richard,,1,individuo,"infraestructura urbana/rural, terreno",,proyecto,0,0,0,,2022-08-16 23:10:44
4540,151,3,Richard,Vecinos,1,organización,"intercesion, oposicion a proyecto",,,0,1,0,,2022-08-16 23:12:30
9276,152,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 23:12:45
5197,153,3,Richard,,1,empresa,permiso/autorización,,,0,0,0,,2022-08-16 23:13:29
887,154,3,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-16 23:13:39
379,155,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 23:13:52
6845,156,3,Richard,INSTITUTO ALEMAN,1,institución,no especificado,,información,0,0,0,,2022-08-16 23:15:29
2379,157,3,Richard,,1,empresa,,,bien/servicio,0,0,0,?,2022-08-16 23:15:59
284,158,3,Richard,,1,individuo,permiso/autorización,,proyecto,0,0,0,,2022-08-16 23:16:43
14837,159,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 23:16:54
8705,160,3,Richard,,1,individuo,permiso/autorización,,,0,0,0,,2022-08-16 23:17:02
2716,161,3,Richard,INSTITUCION FINANCIERA COOPEUCH,1,empresa,,,información,1,0,0,,2022-08-16 23:18:55
13559,162,3,Richard,,1,individuo,infraestructura urbana/rural,,,0,0,0,,2022-08-16 23:19:21
12761,163,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 23:19:33
324,164,3,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-16 23:19:43
6973,165,3,Richard,,1,empresa,,,bien/servicio,0,0,0,,2022-08-16 23:20:08
3842,166,3,Richard,,1,individuo,empleo,Sala de Concejo Municipal,,0,0,0,,2022-08-16 23:20:32
